PlantletID,Weaning_2_Date,Number,Location
SE201910_(162373C2/132684)_102,2020-08-12,4.0,Sendusu
SE201905_(162431C1/132332)_163,2020-08-12,4.0,Sendusu
SE201905_(162431C1/132332)_51,2020-08-12,2.0,Sendusu
SE201910_(162405C2/132696)_1,2020-08-12,2.0,Sendusu
SE201902_(162449C1/132494)_4,2020-08-12,4.0,Sendusu
SE201903_(162357C1/132383)_47,2020-08-12,4.0,Sendusu
SE201910_(162373C2/132684)_95,2020-08-12,4.0,Sendusu
SE201905_(163051C1/132684)_1,2020-08-12,2.0,Sendusu
SE201910_(162441C1/132696)_13,2020-08-12,4.0,Sendusu
SE201910_(162373C2/132684)_46,2020-08-12,3.0,Sendusu
