PlantletID,Copies,Subculture_Date,Location
SE201905_(162431C1/132332)_62,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_61,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_66,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_68,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_60,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_7,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_6,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_70,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_95,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_59,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_72,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_75,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_152,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_57,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_75,1,2020-01-16,Sendusu
SE201902_(162421C1/132608)_1,1,2020-01-16,Sendusu
SE201902_(162450C1/132447)_21,1,2020-01-16,Sendusu
SE201902_(162730C1/132470)_3,1,2020-01-16,Sendusu
SE201904_(162430C1/132419)_2,1,2020-01-16,Sendusu
SE201904_(162430C1/132419)_1,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_44,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_36,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_37,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_168,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_135,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_16,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_54,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_29,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_73,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_74,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_67,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_39,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_63,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_52,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_3,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_45,1,2020-01-16,Sendusu
SE201903_(163363C1/132604)_4,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_44,1,2020-01-16,Sendusu
